iso,elapsed_ms,own_lag_ms,server_rtt_ms,daemon_rtt_ms
2026-08-10T07:48:34.145Z,40531,0.6,,0.9
2026-08-10T07:48:34.245Z,40631,0.6,,3.0
2026-08-10T07:48:34.350Z,40735,8.5,,1.1
2026-08-10T07:48:34.451Z,40839,5.8,,5.2
2026-08-10T07:48:34.551Z,40937,2.6,,2.5
2026-08-10T07:48:34.653Z,41039,2.2,,0.8
2026-08-10T07:48:34.754Z,41139,3.5,,7.1
2026-08-10T07:48:34.854Z,41239,0.6,,5.4
2026-08-10T07:48:34.954Z,41339,8.0,,3.1
2026-08-10T07:48:35.054Z,41439,0.5,,3.1
2026-08-10T07:48:35.154Z,41539,2.9,,2.1
2026-08-10T07:48:35.257Z,41642,1.0,,0.9
2026-08-10T07:48:35.357Z,41743,0.7,,1.9
2026-08-10T07:48:35.458Z,41843,3.2,,3.1
2026-08-10T07:48:35.558Z,41943,7.0,,20.1
2026-08-10T07:48:35.658Z,42043,1.4,,2.9
2026-08-10T07:48:35.758Z,42143,1.5,,1.0
2026-08-10T07:48:35.858Z,42243,1.1,,2.3
2026-08-10T07:48:35.958Z,42344,0.7,,1.1
2026-08-10T07:48:36.058Z,42444,5.3,,3.9
2026-08-10T07:48:36.158Z,42544,1.9,,5.2
2026-08-10T07:48:36.258Z,42644,1.9,,0.9
2026-08-10T07:48:36.358Z,42744,3.3,,1.0
2026-08-10T07:48:36.458Z,42844,1.1,,1.2
2026-08-10T07:48:36.559Z,42944,0.9,,0.8
2026-08-10T07:48:36.659Z,43044,3.0,,4.5
2026-08-10T07:48:36.759Z,43144,1.3,,3.6
2026-08-10T07:48:36.859Z,43245,4.2,,1.4
2026-08-10T07:48:36.959Z,43345,4.1,,1.1
2026-08-10T07:48:37.059Z,43445,2.0,,1.6
2026-08-10T07:48:37.165Z,43551,8.0,,1.7
2026-08-10T07:48:37.265Z,43651,3.2,,3.4
2026-08-10T07:48:37.366Z,43751,2.9,,6.1
2026-08-10T07:48:37.466Z,43851,5.0,,4.1
2026-08-10T07:48:37.566Z,43952,2.4,,0.7
2026-08-10T07:48:37.666Z,44052,3.5,,2.3
2026-08-10T07:48:37.766Z,44152,2.1,,1.6
2026-08-10T07:48:37.867Z,44253,1.6,,1.0
2026-08-10T07:48:37.967Z,44353,2.7,,1.3
2026-08-10T07:48:38.068Z,44453,9.1,,10.0
2026-08-10T07:48:38.168Z,44553,2.4,,0.9
2026-08-10T07:48:38.268Z,44653,1.4,,8.3
2026-08-10T07:48:38.368Z,44754,7.3,,6.6
2026-08-10T07:48:38.468Z,44854,4.1,,1.1
2026-08-10T07:48:38.573Z,44958,8.5,,2.9
2026-08-10T07:48:38.673Z,45058,4.8,,0.9
2026-08-10T07:48:38.773Z,45158,1.1,,16.2
2026-08-10T07:48:38.873Z,45259,0.9,,4.4
2026-08-10T07:48:38.973Z,45359,7.3,,2.0
2026-08-10T07:48:39.073Z,45459,0.9,,3.2
2026-08-10T07:48:39.173Z,45559,0.8,,2.2
2026-08-10T07:48:39.274Z,45660,1.9,,12.3
2026-08-10T07:48:39.375Z,45760,1.2,,1.8
2026-08-10T07:48:39.475Z,45861,1.6,,2.2
2026-08-10T07:48:39.575Z,45961,3.7,,2.4
2026-08-10T07:48:39.676Z,46061,2.6,,5.8
2026-08-10T07:48:39.776Z,46161,1.2,,15.3
2026-08-10T07:48:39.876Z,46262,1.7,,5.1
2026-08-10T07:48:39.976Z,46362,2.8,,1.5
2026-08-10T07:48:40.077Z,46462,3.4,,0.8
2026-08-10T07:48:40.180Z,46565,4.5,,1.2
2026-08-10T07:48:40.280Z,46665,2.2,,1.6
2026-08-10T07:48:40.380Z,46765,0.6,,1.3
2026-08-10T07:48:40.481Z,46866,0.7,,2.4
2026-08-10T07:48:40.581Z,46967,3.2,,0.8
2026-08-10T07:48:40.681Z,47067,0.5,,4.1
